Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
165869990,-45.84025965,0.005104897394,-142.2044236,-502.2044236,-0.1270715924,0.9854768358,-1.762988139,-1.762988139,-0.1272364859,0.9854581276,-1.334228554,-1.334228554,-43.24432914,0.0068830915,-110.0781314,-470.0781314,
166357771,-45.54619957,0.005280682075,-144.1636834,-504.1636834,-0.1263692998,0.9855565192,-1.761464812,-1.761464812,-0.127986134,0.9853730799,-1.354418136,-1.354418136,-43.16288411,0.006947935761,-111.3621913,-471.3621913,
166845552,-45.26907136,0.005451881809,-145.7319604,-505.7319604,-0.1280950455,0.9853607245,-1.783039176,-1.783039176,-0.1287206975,0.9852897507,-1.354122225,-1.354122225,-43.01516021,0.007067112248,-112.1716395,-472.1716395,
167333333,-44.90307253,0.005686517412,-147.969289,-507.969289,-0.1258797709,0.9856120658,-1.772841187,-1.772841187,-0.128608,0.9853025347,-1.359220658,-1.359220658,-42.98586224,0.007090990249,-114.0831156,-474.0831156,
167821114,-44.72597666,0.005803649377,-149.9081496,-509.9081496,-0.1276109579,0.9854156428,-1.783530587,-1.783530587,-0.1283200292,0.9853352018,-1.360014642,-1.360014642,-42.90540919,0.007156975662,-114.4610538,-474.4610538,
168308895,-44.40717701,0.006020619068,-151.589415,-511.589415,-0.1279717376,0.9853747131,-1.780223887,-1.780223887,-0.1289293957,0.9852660771,-1.374855366,-1.374855366,-42.85825225,0.00719593758,-115.7491325,-475.7491325,
168796676,-44.17431568,0.006184209821,-152.9726907,-512.9726907,-0.1289149614,0.9852677145,-1.782143219,-1.782143219,-0.1287738677,0.9852837193,-1.395281664,-1.395281664,-42.78948673,0.007253133375,-116.6883749,-476.6883749,
169284457,-43.88016214,0.006397228934,-154.8438879,-514.8438879,-0.1283198251,0.9853352249,-1.795016309,-1.795016309,-0.1303199181,0.9851083587,-1.384253179,-1.384253179,-42.65402461,0.007367137396,-118.3344923,-478.3344923,
169772238,-43.60183462,0.006605539123,-156.6589522,-516.6589522,-0.1266827001,0.9855209594,-1.788528269,-1.788528269,-0.1304787464,0.9850903454,-1.38445975,-1.38445975,-42.60746645,0.007406732795,-119.7476085,-479.7476085,
170260019,-43.34460882,0.006804082317,-157.9489404,-517.9489404,-0.1279717037,0.9853747169,-1.788267847,-1.788267847,-0.1306474629,0.985071211,-1.380214977,-1.380214977,-42.58092918,0.007429396569,-121.4372668,-481.4372668,
