Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
451221896,-33.81559469,0.02038075487,78.6713812,-641.3286188,-56.08685005,0.001569124839,142.468951,-76537.53105,-56.09511539,0.001567632399,143.7303091,-76536.26969,-32.57374806,0.0235132465,95.83000717,-264.1699928,
451709677,-34.00298073,0.01994577719,79.67437833,-640.3256217,-55.76993895,0.001627432754,59.26967471,-76620.73033,-55.76933524,0.001627545872,61.17500964,-76618.82499,-32.79892292,0.02291151746,96.42393682,-263.5760632,
452197458,-34.15794285,0.01959308659,81.14502962,-638.8549704,-55.64532383,0.001650949575,-22.05744808,-76702.05745,-55.75703077,0.001629853095,-20.04204882,-76700.04205,-32.95299722,0.0225086858,97.82297715,-262.1770229,
452685239,-34.24184736,0.01940473123,83.0202832,-636.9797168,-55.84410895,0.001613595048,-103.8520936,-76783.85209,-55.95743708,0.001592678605,-102.4363886,-76782.43639,-32.96763622,0.02247078213,99.53646534,-260.4635347,
453173020,-34.23316229,0.01942414384,85.09602036,-634.9039796,-56.03435957,0.00157863607,171.5907489,-76868.40925,-56.06766046,0.001572595314,173.0286237,-76866.97138,-32.87454208,0.02271291607,100.9696622,-259.0303378,
453660801,-34.11614388,0.01968760132,87.24745871,-632.7525413,-55.81990501,0.001618097733,86.7945466,-76953.20545,-55.82479028,0.00161718791,88.66081329,-76951.33919,-32.72537322,0.02310634955,101.8584769,-258.1415231,
454148582,-33.90710679,0.02016715613,88.98699248,-631.0130075,-55.42413686,0.001693531025,4.940580636,-77035.05942,-55.48118191,0.001682445112,6.97108857,-77033.02891,-32.59402065,0.02345843135,102.3028887,-257.6971113,
454636363,-33.61569171,0.02085525069,90.2957283,-629.7042717,-55.25111675,0.001727603848,-73.70332692,-77113.70333,-55.38418223,0.001701339121,-72.31643936,-77112.31644,-32.49043472,0.02373986603,102.7710677,-257.2289323,
455124144,-33.29040101,0.02165109917,91.02952287,-628.9704771,-55.67636236,0.001645060528,-152.8532102,-77192.85321,-55.72188589,0.001636461172,-151.5608037,-77191.5608,-32.379267,0.02404565712,103.4135022,-256.5864978,
455611925,-32.92521283,0.02258080178,91.27359074,-628.7264093,-56.46161358,0.001502862753,124.4534423,-77275.54656,-56.45453063,0.001504088769,126.2017233,-77273.79828,-32.18491788,0.02458974958,104.1700269,-255.8299731,
456099706,-32.53253366,0.0236250816,90.7328584,-629.2671416,-56.93092673,0.001423815326,36.326945,-77363.67306,-57.03220064,0.001407310629,38.44857545,-77361.55142,-31.93134875,0.02531818464,104.3549314,-255.6450686,
456587487,-32.16154285,0.0246560134,89.32678393,-630.6732161,-56.57549926,0.001483286475,-51.28011793,-77451.28012,-56.75214571,0.001453425296,-49.71403239,-77449.71403,-31.67714931,0.02607009024,103.8949063,-256.1050937,
457075268,-31.84889266,0.02555967735,87.17724443,-632.8227556,-56.00715492,0.001583588189,-133.963774,-77533.96377,-56.07393525,0.001571459662,-132.8020025,-77532.802,-31.47875595,0.02667240655,102.987911,-257.012089,
457563049,-31.62027281,0.02624136122,84.33815622,-635.6618438,-55.82427703,0.001617283472,146.1609712,-77613.83903,-55.85119556,0.001612279092,147.9077808,-77612.09222,-31.33948432,0.02710352541,101.9985872,-258.0014128,
458050830,-31.52492976,0.02653099344,81.03754854,-638.9624515,-56.13233054,0.001560930164,65.48996619,-77694.51003,-56.16667214,0.001554770862,67.51678616,-77692.48321,-31.21897716,0.02748217761,101.0269654,-258.9730346,
458538611,-31.55376503,0.02644306231,77.59030194,-642.4096981,-56.46273003,0.001502669594,-18.60305558,-77778.60306,-56.61236752,0.001477003839,-16.74626294,-77776.74626,-31.07869516,0.02792963382,100.0310119,-259.9689881,
459026392,-31.71611333,0.02595340436,74.09458088,-645.9054191,-56.4429762,0.001506090918,-103.0339617,-77863.03396,-56.55962682,0.001485999486,-101.9699373,-77861.96994,-30.92969808,0.02841286945,98.55844242,-261.4415576,
459514173,-32.00547499,0.02510303608,70.87324849,-649.1267515,-56.33406282,0.001525094866,173.7817503,-77946.21825,-56.40545293,0.001512611345,175.3022713,-77944.69773,-30.8412835,0.02870356402,96.5474351,-263.4525649,
